cohort,event,mode_rank,f_obs_hz,sigma_f_obs_hz,f_kerr_hz,sigma_f_kerr_hz,gamma_obs_hz,sigma_gamma_obs_hz,gamma_kerr_hz,sigma_gamma_kerr_hz,residual_f,residual_gamma,max_abs_residual,verdict_kerr,freq_hz,tau_ms,M_final_Msun,M_final_detector_Msun,chi_final,z,sigma_M_final_Msun,sigma_chi_final,mass_1_source,mass_2_source,M_total_source,q,chi_eff,chi_p,chi_p_available,network_matched_filter_snr,network_snr,redshift,p_astro,FAR,metadata_status,pe_catalog_source,pe_version_source,pe_result_source,pe_pipeline_source,search_catalog_source,search_version_source,search_result_source,search_pipeline_source
T6.6_O3_literature,GW150914,0,248.0,7.5,233.80159929295635,14.64423205616978,238.09523809523807,14.17233560090703,203.47117320151472,14.920631319569411,0.8629635794524696,1.6825246239592797,1.6825246239592797,marginal,248.0,4.2,63.1,68.77900000000001,0.69,0.09,3.4,0.05,34.6,30.0,64.6,0.8670520231213873,-0.04,,false,26.0,,0.1,1.0,1e-07,SOURCE_OK,GWTC-2.1-confident,GW150914-v4,GWTC-1-confident_GW150914_R2_pe_combined,lalinference,GWTC-1-confident,GW150914-v3,gwtc1_gstlal_GW150914,gstlal
T6.6_O3_literature,GW170104,0,287.0,20.0,268.9698322140416,28.203229633576505,285.7142857142857,28.571428571428573,244.9014595025874,28.289674811491093,0.5214817530000329,1.0150584554967024,1.0150584554967024,marginal,287.0,3.5,48.9,58.67999999999999,0.66,0.2,4.5,0.08,28.7,20.8,49.5,0.7247386759581882,-0.04,,false,13.8,,0.22,1.0,1e-07,SOURCE_OK,GWTC-2.1-confident,GW170104-v3,GWTC-1-confident_GW170104_R2_pe_combined,lalinference,GWTC-1-confident,GW170104-v2,gwtc1_gstlal_GW170104,gstlal
T6.6_O3_literature,GW170814,0,293.0,12.5,274.251939091519,20.65988318012444,270.27027027027026,18.261504747991232,226.35863040653575,22.49901965200075,0.7764115642267798,1.5153765715994187,1.5153765715994187,marginal,293.0,3.7,53.2,59.79680000000001,0.72,0.124,3.2,0.07,30.9,24.9,55.8,0.8058252427184466,0.08,,false,17.7,,0.13,1.0,1e-07,SOURCE_OK,GWTC-2.1-confident,GW170814-v4,GWTC-1-confident_GW170814_R2_pe_combined,lalinference,GWTC-1-confident,GW170814-v3,gwtc1_gstlal_GW170814,gstlal
T6.6_O3_literature,GW170823,0,197.0,17.0,186.85184319660445,29.98059452179273,181.8181818181818,29.75206611570248,154.2214339669845,28.572763383334948,0.2944482100681349,0.6690070079295317,0.6690070079295317,consistent,197.0,5.5,65.4,87.76680000000002,0.72,0.342,9.6,0.1,38.3,29.0,67.3,0.7571801566579635,0.05,,false,12.2,,0.36,1.0,1e-07,SOURCE_OK,GWTC-2.1-confident,GW170823-v2,GWTC-1-confident_GW170823_R2_pe_combined,lalinference,GWTC-1-confident,GW170823-v1,gwtc1_gstlal_GW170823,gstlal
T6.6_O3_literature,GW190408_181802,0,319.0,15.5,308.6329480932849,32.05083908308485,312.5,29.296874999999996,276.8235070264699,31.16286595308637,0.2911925181554508,0.8341115358050798,0.8341115358050798,consistent,319.0,3.2,41.4,51.46019999999999,0.67,0.243,3.9,0.07,24.8,18.5,43.3,0.7459677419354839,-0.03,,false,14.6,,0.29,1.0,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190408_181802-v2,GWTC-2.1-confident_GW190408_181802_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190408_181802-v2,GWTC-2.1-confident_gstlal_GW190408_181802,gstlal
T6.6_O3_literature,GW190421_213856,0,162.0,14.0,165.0991626845746,31.594127209959414,158.7301587301587,25.195263290501387,150.32550517387213,30.772706399508973,-0.0896825325740715,0.2113242901236684,0.2113242901236684,consistent,162.0,6.3,70.5,95.59799999999998,0.66,0.356,12.4,0.12,42.0,32.0,74.0,0.7619047619047619,-0.1,,false,10.7,,0.45,0.99566,0.0028,SOURCE_OK,GWTC-2.1-confident,GW190421_213856-v2,GWTC-2.1-confident_GW190421_213856_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190421_213856-v2,GWTC-2.1-confident_gstlal_GW190421_213856,gstlal
T6.6_O3_literature,GW190503_185404,0,191.0,16.0,177.3846022491201,30.13582827779064,188.67924528301887,28.47988608045568,161.51160011701705,31.117615800484156,0.3990455545830975,0.6440417065564098,0.6440417065564098,consistent,191.0,5.3,66.5,88.977,0.66,0.338,9.4,0.15,41.3,28.3,69.6,0.6852300242130751,-0.05,,false,12.2,,0.29,1.0,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190503_185404-v2,GWTC-2.1-confident_GW190503_185404_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190503_185404-v2,GWTC-2.1-confident_gstlal_GW190503_185404,gstlal
T6.6_O3_literature,GW190512_180714,0,381.0,37.5,390.81972223891415,49.81541079796887,384.6153846153846,29.585798816568044,361.2230507821911,48.40448831863993,-0.1574874100520057,0.4123436844591733,0.4123436844591733,consistent,381.0,2.6,34.3,40.13099999999999,0.65,0.17,4.1,0.07,23.2,12.5,35.7,0.5387931034482759,0.02,,false,12.7,,0.28,1.0,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190512_180714-v2,GWTC-2.1-confident_GW190512_180714_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190512_180714-v2,GWTC-2.1-confident_gstlal_GW190512_180714,gstlal
T6.6_O3_literature,GW190513_205428,0,241.0,27.0,239.82223553839816,45.32318474933146,232.5581395348837,40.56246619794484,201.4844198225356,44.89285596107567,0.0223247669518047,0.5135848822382614,0.5135848822382614,consistent,241.0,4.3,52.1,67.9384,0.71,0.304,8.8,0.13,36.0,18.3,54.3,0.5083333333333333,0.16,,false,12.5,,0.4,0.99998,1.3e-05,SOURCE_OK,GWTC-2.1-confident,GW190513_205428-v2,GWTC-2.1-confident_GW190513_205428_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190513_205428-v2,GWTC-2.1-confident_gstlal_GW190513_205428,gstlal
T6.6_O3_literature,GW190519_153544,0,127.0,9.0,118.22851064433492,17.70722019032332,105.26315789473684,17.72853185595568,85.96186380585411,16.888605029243454,0.4415955747558643,0.7882835823248424,0.7882835823248424,consistent,127.0,9.5,100.0,145.0,0.79,0.45,13.0,0.12,65.1,40.8,105.89999999999999,0.6267281105990784,0.33,,false,15.9,,0.45,0.99999,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190519_153544-v2,GWTC-2.1-confident_GW190519_153544_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190519_153544-v2,GWTC-2.1-confident_gstlal_GW190519_153544,gstlal
T6.6_O3_literature,GW190521,0,68.0,4.0,57.1978060992159,17.68646614987439,63.291139240506325,12.818458580355712,55.28713619793295,18.44178702456396,0.5957152852309658,0.3563808609004125,0.5957152852309658,consistent,68.0,15.8,147.4,269.005,0.62,0.825,40.0,0.23,98.4,57.2,155.60000000000002,0.5813008130081301,-0.14,,false,14.3,,0.56,0.79173,0.2,SOURCE_OK,GWTC-2.1-confident,GW190521-v4,GWTC-2.1-confident_GW190521_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190521-v4,GWTC-2.1-confident_gstlal_GW190521,gstlal
T6.6_O3_literature,GW190521_074359,0,198.0,7.0,185.47388574211587,18.12224922359604,185.1851851851852,13.717421124828531,155.82415941159934,17.43132709485553,0.6447721387193375,1.3236719708272138,1.3236719708272138,marginal,198.0,5.4,72.6,87.84599999999999,0.71,0.21,6.5,0.06,43.4,33.4,76.8,0.7695852534562212,0.1,,false,25.9,,0.21,1.0,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190521_074359-v2,GWTC-2.1-confident_GW190521_074359_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190521_074359-v2,GWTC-2.1-confident_gstlal_GW190521_074359,gstlal
T6.6_O3_literature,GW190602_175927,0,105.0,9.5,90.2741814549424,17.683611686720933,100.0,17.0,74.50937318037641,18.72699178165809,0.7335815666071887,1.0078415630455388,1.0078415630455388,marginal,105.0,10.0,110.5,181.662,0.72,0.644,17.9,0.17,71.8,44.8,116.6,0.6239554317548747,0.12,,false,13.2,,0.49,1.0,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190602_175927-v2,GWTC-2.1-confident_GW190602_175927_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190602_175927-v2,GWTC-2.1-confident_gstlal_GW190602_175927,gstlal
T6.6_O3_literature,GW190706_222641,0,108.0,10.5,88.90148320875494,23.38591217316573,91.74311926605505,19.35863984513088,65.84023407087045,21.66173229021855,0.7450185585482286,0.8916206377330911,0.8916206377330911,consistent,108.0,10.9,107.3,191.6378,0.78,0.786,25.2,0.19,74.0,39.4,113.4,0.5324324324324324,0.28,,false,13.4,,0.6,0.99991,5e-05,SOURCE_OK,GWTC-2.1-confident,GW190706_222641-v2,GWTC-2.1-confident_GW190706_222641_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190706_222641-v2,GWTC-2.1-confident_gstlal_GW190706_222641,gstlal
T6.6_O3_literature,GW190708_232457,0,497.0,28.0,443.5639685209744,44.8964269143702,476.19047619047615,34.01360544217687,391.8980293745233,41.57639865584975,1.00990213408329,1.5691932979168186,1.5691932979168186,marginal,497.0,2.1,30.1,36.029700000000005,0.68,0.197,2.9,0.05,19.8,11.6,31.4,0.5858585858585859,0.05,,false,13.4,,0.19,0.99965,0.00031,SOURCE_OK,GWTC-2.1-confident,GW190708_232457-v2,GWTC-2.1-confident_GW190708_232457_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190708_232457-v2,GWTC-2.1-confident_gstlal_GW190708_232457,gstlal
T6.6_O3_literature,GW190727_060333,0,178.0,17.0,187.7825758158764,30.345528260622995,163.9344262295082,25.530771298038164,152.2511922249951,29.253564123284697,-0.2812465884955419,0.3008993603054955,0.3008993603054955,consistent,178.0,6.1,65.4,87.8976,0.73,0.344,9.5,0.11,38.9,30.2,69.1,0.7763496143958869,0.09,,false,11.7,,0.52,1.0,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190727_060333-v2,GWTC-2.1-confident_GW190727_060333_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190727_060333-v2,GWTC-2.1-confident_gstlal_GW190727_060333,gstlal
T6.6_O3_literature,GW190828_063405,0,239.0,10.5,224.61669574587535,31.827623657306592,208.33333333333331,23.87152777777778,178.88203401370416,28.07255022013894,0.4291616558657538,0.7992224979144349,0.7992224979144349,consistent,239.0,4.8,54.3,73.9566,0.74,0.362,7.3,0.07,31.9,25.8,57.7,0.8087774294670848,0.15,,false,16.5,,0.38,1.0,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190828_063405-v2,GWTC-2.1-confident_GW190828_063405_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190828_063405-v2,GWTC-2.1-confident_gstlal_GW190828_063405,gstlal
T6.6_O3_literature,GW190910_112807,0,177.0,8.0,167.54855586573984,21.174943426475227,169.4915254237288,18.67279517380063,145.81295137979268,20.46313525526528,0.4175445673452388,0.8547535574755591,0.8547535574755591,consistent,177.0,5.9,74.4,95.976,0.69,0.29,8.6,0.08,43.8,34.2,78.0,0.7808219178082193,0.0,,false,14.5,,0.29,0.99669,0.0029,SOURCE_OK,GWTC-2.1-confident,GW190910_112807-v2,GWTC-2.1-confident_GW190910_112807_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190910_112807-v2,GWTC-2.1-confident_gstlal_GW190910_112807,gstlal
T6.6_O3_literature,GW190915_235702,0,232.0,16.0,227.89054033658215,30.457842476366235,217.3913043478261,33.08128544423441,198.32693935386797,29.79802982003661,0.1194448793958372,0.428191762236266,0.428191762236266,consistent,232.0,4.6,54.7,70.563,0.69,0.29,6.6,0.09,32.6,24.5,57.1,0.7515337423312883,-0.03,,false,13.1,,0.32,0.99999,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190915_235702-v2,GWTC-2.1-confident_GW190915_235702_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190915_235702-v2,GWTC-2.1-confident_gstlal_GW190915_235702,gstlal
T8.2a_GWTC4_pSEOBNR,GW150914,0,253.3,17.9,236.2376454784945,14.976240211189468,221.72949002217297,69.32119311114498,208.7208932587622,14.801501225642433,0.7310737030946435,0.1835200407310357,0.7310737030946435,consistent,253.3,4.51,61.5,67.65,0.68,0.1,3.4,0.05,34.6,30.0,64.6,0.8670520231213873,-0.04,,false,26.0,,0.1,1.0,1e-07,SOURCE_OK,GWTC-2.1-confident,GW150914-v4,GWTC-1-confident_GW150914_R2_pe_combined,lalinference,GWTC-1-confident,GW150914-v3,gwtc1_gstlal_GW150914,gstlal
T8.2a_GWTC4_pSEOBNR,GW170104,0,284.8,36.8,274.06925341622184,29.35227401412117,203.66598778004072,148.49780779074254,245.8221404017868,29.01990699739056,0.2279633616844384,-0.2786136969288568,0.2786136969288568,consistent,284.8,4.91,47.5,57.95,0.67,0.22,4.5,0.08,28.7,20.8,49.5,0.7247386759581882,-0.04,,false,13.8,,0.22,1.0,1e-07,SOURCE_OK,GWTC-2.1-confident,GW170104-v3,GWTC-1-confident_GW170104_R2_pe_combined,lalinference,GWTC-1-confident,GW170104-v2,gwtc1_gstlal_GW170104,gstlal
T8.2a_GWTC4_pSEOBNR,GW190519_153544,0,121.7,14.3,118.22851064433492,17.70722019032332,116.95906432748536,64.9772579597141,85.96186380585411,16.888605029243454,0.1525232375570073,0.4617062273007749,0.4617062273007749,consistent,121.7,8.55,100.0,145.0,0.79,0.45,13.0,0.12,65.1,40.8,105.89999999999999,0.6267281105990784,0.33,,false,15.9,,0.45,0.99999,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190519_153544-v2,GWTC-2.1-confident_GW190519_153544_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190519_153544-v2,GWTC-2.1-confident_gstlal_GW190519_153544,gstlal
T8.2a_GWTC4_pSEOBNR,GW190521_074359,0,204.0,24.4,185.47388574211587,18.12224922359604,182.1493624772313,63.03894147663743,155.82415941159934,17.43132709485553,0.6095383291672846,0.4024978431653734,0.6095383291672846,consistent,204.0,5.49,72.6,87.84599999999999,0.71,0.21,6.5,0.06,43.4,33.4,76.8,0.7695852534562212,0.1,,false,25.9,,0.21,1.0,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190521_074359-v2,GWTC-2.1-confident_GW190521_074359_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190521_074359-v2,GWTC-2.1-confident_gstlal_GW190521_074359,gstlal
T8.2a_GWTC4_pSEOBNR,GW190630_185205,0,247.6,49.4,242.36224445014196,22.255476428766286,262.4671916010499,171.53367640068615,207.24585950543764,22.99278955941108,0.0966700375099735,0.3190733662612398,0.3190733662612398,consistent,247.6,3.81,56.6,66.788,0.7,0.18,4.5,0.07,35.1,24.0,59.1,0.6837606837606838,0.1,,false,16.4,,0.18,1.0,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190630_185205-v2,GWTC-2.1-confident_GW190630_185205_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190630_185205-v2,GWTC-2.1-confident_gstlal_GW190630_185205,gstlal
T8.2a_GWTC4_pSEOBNR,GW190828_063405,0,252.4,20.3,221.68691275788572,31.412480740037385,156.00624024961,69.11976947096603,176.54879009178632,27.7063865216154,0.8211838353445386,-0.2758647915051895,0.8211838353445386,consistent,252.4,6.41,54.3,74.93399999999998,0.74,0.38,7.3,0.07,31.9,25.8,57.7,0.8087774294670848,0.15,,false,16.5,,0.38,1.0,1e-05,SOURCE_OK,GWTC-2.1-confident,GW190828_063405-v2,GWTC-2.1-confident_GW190828_063405_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190828_063405-v2,GWTC-2.1-confident_gstlal_GW190828_063405,gstlal
T8.2a_GWTC4_pSEOBNR,GW190910_112807,0,174.5,12.2,167.54855586573984,21.174943426475227,105.3740779768177,38.418789230747024,145.81295137979268,20.46313525526528,0.2844516839852642,-0.9290174281600072,0.9290174281600072,consistent,174.5,9.49,74.4,95.976,0.69,0.29,8.6,0.08,43.8,34.2,78.0,0.7808219178082193,0.0,,false,14.5,,0.29,0.99669,0.0029,SOURCE_OK,GWTC-2.1-confident,GW190910_112807-v2,GWTC-2.1-confident_GW190910_112807_R2_pe_combined,lalinference,GWTC-2.1-confident,GW190910_112807-v2,GWTC-2.1-confident_gstlal_GW190910_112807,gstlal
T8.2a_GWTC4_pSEOBNR,GW200129_065458,0,247.6,16.8,232.35595664217544,18.19244982494075,196.46365422396855,66.38850398138035,188.3905962288942,18.21111318185241,0.615598070570587,0.1172711379036731,0.615598070570587,consistent,247.6,5.09,60.2,71.036,0.73,0.18,4.1,0.06,34.5,29.0,63.5,0.8405797101449275,0.11,,false,26.8,,0.18,0.99,1e-05,SOURCE_OK,GWTC-3-confident,GW200129_065458-v1,GWTC-3-confident_GW200129_065458_R2_pe_combined,bilby,GWTC-3-confident,GW200129_065458-v1,GWTC-3-confident_gstlal_GW200129_065458,gstlal
T8.2a_GWTC4_pSEOBNR,GW200224_222234,0,195.8,11.0,182.0126784883064,19.55398261336487,145.1378809869376,54.13706155826264,147.57304920069393,18.61796662837096,0.6145274878512472,-0.0425364185959211,0.6145274878512472,consistent,195.8,6.89,68.7,90.684,0.73,0.32,6.7,0.07,40.0,32.7,72.7,0.8175000000000001,0.1,,false,20.0,,0.32,0.99,1e-05,SOURCE_OK,GWTC-3-confident,GW200224_222234-v1,GWTC-3-confident_GW200224_222234_R2_pe_combined,bilby,GWTC-3-confident,GW200224_222234-v1,GWTC-3-confident_gstlal_GW200224_222234,gstlal
T8.2a_GWTC4_pSEOBNR,GW200311_115853,0,239.8,23.1,221.5879867406676,21.28808785755772,190.83969465648852,224.7100984791096,192.8419983688437,21.946946558964058,0.5797556599363387,-0.0088684109823913,0.5797556599363387,consistent,239.8,5.24,59.0,72.57,0.69,0.23,4.8,0.08,34.2,27.7,61.900000000000006,0.8099415204678362,-0.02,,false,17.8,,0.23,0.99,1e-05,SOURCE_OK,GWTC-3-confident,GW200311_115853-v1,GWTC-3-confident_GW200311_115853_R2_pe_combined,bilby,GWTC-3-confident,GW200311_115853-v1,GWTC-3-confident_gstlal_GW200311_115853,gstlal
